idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
15024,Absolutely Cranberry Smash,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Stir ingredients together. Serve over ice.,Mezcla los ingredientes. Servir con cubitos de hielo.,Zutaten verrühren. Auf Eis servieren.,,"Mescola gli ingredienti insieme.
Servire con ghiaccio.",,,https://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Absolut Vodka,Cranberry juice,Ginger ale,Ice,,,,,,,,,,,,2 oz ,4 oz ,2 oz ,Add ,,,,,,,,,,,,,,No,2016-09-02 11:24:44
17224,Absolutely Fabulous,,,,Cocktail,,Alcoholic,Champagne flute,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,Mezcle el vodka y el jugo de arándanos en una coctelera y cuélelos en un vaso. Rellénalo con champán.,Den Wodka- und Preiselbeersaft in einem Shaker vermischen und in ein Glas abseihen. Mit Champagner auffüllen.,,Mescolare la vodka e il succo di mirtillo rosso in uno shaker e filtrare in un bicchiere. Rabboccare con lo champagne.,,,https://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Vodka,Cranberry Juice,Champagne,,,,,,,,,,,,,1 shot ,2 shots ,Top up with,,,,,,,,,,,,,,,No,2017-09-07 21:55:34
16134,Absolutly Screwed Up,,,,Cocktail,,Alcoholic,Collins glass,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.","Agítalo para que te sepa más delicioso, pero puedes revolverlo si quieres. 6 de esos lo mantendré borracho por el resto de la noche.","Schütteln Sie, schmeckt es besser, aber Sie können es auch rühren, wenn Sie wollen. 6 davon und du wirst für den Rest der Nacht erledigt sein.",,"Agitalo perché ha un sapore migliore, ma puoi mescolarlo se vuoi.
6 di quelli e sarai ubriaco per il resto della notte.",,,https://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,Fill to top ,,,,,,,,,,,,,,No,2016-08-31 19:55:28
17836,Acapulco,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Mezcle y agite todos los ingredientes (excepto la menta) con hielo y cuélelos en un vaso de rocas sobre cubitos de hielo. Añadir una ramita de menta y servir.,Alle Zutaten (außer Minze) mit Eis mischen und schütteln und in ein old-fashioned Glas über Eiswürfel abseihen. Den Minzzweig dazugeben und servieren.,,Unire e scuotere tutti gli ingredienti (tranne la menta) con ghiaccio e filtrare in un bicchiere vecchio stile su cubetti di ghiaccio.Aggiungere il rametto di menta e servire.,,,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 ,,,,,,,,,,,,Yes,2016-09-02 11:26:16
17225,Ace,,,,Cocktail,,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Agite todos los ingredientes en una coctelera con hielo y entonces cuélelos sobre un vaso enfriado.,Alle Zutaten in einem Cocktailshaker mit Eis schütteln und dann in einem kalten Glas abseihen.,,"Shakerare tutti gli ingredienti in uno shaker e ghiaccio, quindi filtrare in un bicchiere freddo.",,,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,,,,No,2017-09-07 22:05:06
14610,ACID,,,,Shot,,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,"Vierta primero el Bacardi 151, seguido del Wild Turkey 101 y sirva con Coca-Cola o Dr Pepper.","Gering den 151 gefolgt von der 101, die mit einer Cola oder Dr. Pepper Chaser serviert wird.",,"Versa prima il Bacardi 151 seguito dal 101, servito con una Coca-Cola.",,,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1 oz Bacardi ,1 oz ,,,,,,,,,,,,,,,,No,2016-11-15 11:28:37
17837,Adam,,"Alcoholic,Holiday",,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Mezclar todos los ingredientes en una coctelera con cubitos de hielo hasta la mitad. Agitar bien. Colar el contenido en un vaso de cóctel.,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",,"In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Agitare bene.Filtrare in un bicchiere da cocktail.",,,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,,,,,,,,,,,,,,,Yes,2016-09-02 11:29:29
17226,Adam & Eve,,,,Cocktail,,Alcoholic,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,Agitar todos los ingredientes y colarlos en un vaso enfriado.,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,,Shakerare insieme tutti gli ingredienti e filtrare in un bicchiere freddo.,,,https://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1/8 shot ,,,,,,,,,,,,,,No,2017-09-07 22:17:58
16333,Adam Bomb,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.","Agregue hielo a la licuadora (o al vaso, si lo prefiere). Agregue las frutas y el jugo de frutas según sus preferencias personales, después agregue el Ron, el Vodka, el Tequila y el Triple Dry. Bate hasta que quede homogeneo, decora el vaso con azúcar o sal en el borde y vierte la mezcla. Adorne con una rodaja de lima o limón.","Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,"Aggiungere il ghiaccio al frullatore (o al bicchiere se si preferisce con ghiaccio) poi la frutta e il succo di frutta a seconda delle preferenze personali, quindi aggiungere il rum, la vodka, la tequila e il triple sec.
Frullare fino a che non diventa liscio, riempire l'orlo del bicchiere con zucchero o sale, e versare il composto.
Guarnire con una fetta di limone o lime.",,,https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,,,No,2016-02-03 15:23:36
15567,Adam Sunrise,,,,Ordinary Drink,,Alcoholic,Collins Glass,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.","Llena la licuadora con hielo. Llena hasta la mitad del vaso de la licuadora con Bartons Vodka. Agregue 10 cucharaditas de azúcar, agregue 1/2 botella de limonada Schweppes, llene hasta arriba con agua. Mezclar durante 60 segundos.","Den Mixer mit Eis auffüllen. Füllen Sie die Hälfte mit Bartons Wodka. 10 Teelöffel Zucker hinzufügen, 1/2 Dose Limonadenkonzentrat hinzufügen, mit Wasser füllen. 60 Sekunden lang mischen.",,"Riempi il frullatore di ghiaccio.
Riempi metà con Bartons Vodka.
Mettere 10 cucchiaini di zucchero, aggiungere 1/2 lattina di concentrato di limonata, riempire con acqua.
Frulla per 60 secondi.",,,https://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Vodka,Lemonade,Water,Sugar,,,,,,,,,,,,1/2 ,1/2 can ,1/2 ,10 tsp ,,,,,,,,,,,,,,No,2016-09-02 11:28:32
17227,Addington,,,,Cocktail,,Alcoholic,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Mezclar el vermut en una coctelera y colar en una copa fría. Rellene con un chorro de agua con gas.,Mischen Sie beide Wermutarten in einem Shaker und sieben Sie sie in ein kaltes Glas. Mit einem Spritzer Sodawasser auffüllen.,,Rabboccare con l'acqua di seltz.Mescolare entrambi i vermut in uno shaker e filtrare in un bicchiere freddo.,,,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,,,,2 shots ,1 shot ,"Top up with
",,,,,,,,,,,,,,,No,2017-09-07 22:15:25
17228,Addison,,,,Cocktail,,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Agitar todos los ingredientes y colar la mezcla en un vaso enfriado.,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,,Shakerare insieme tutti gli ingredienti e filtrare in un bicchiere freddo.,,,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,,,,No,2017-09-07 22:38:20
14272,Addison Special,,,,Cocktail,,Alcoholic,Old-fashioned glass,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,Mezcle los ingredientes en el orden indicado en una coctelera. Llene hasta la mitad con hielo y agite bien. Colar en un vaso con hielo y decorar con una rodaja de cereza y naranja.,Mische die Zutaten in der angegebenen Reihenfolge in einem Shaker. Halb voll mit Eis füllen und gut schütteln. In ein Glas mit Eis abseihen und mit einem Kirsch- und Orangenkeil garnieren.,,"Unisci gli ingredienti nell'ordine elencato in uno shaker.
Riempi per metà con ghiaccio e agita bene.
Filtrare in un bicchiere con ghiaccio e guarnire con una fetta di ciliegia e arancia.",,,https://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Vodka,Grenadine,Orange juice,,,,,,,,,,,,,1 shot ,1 tblsp ,Fill with ,,,,,,,,,,,,,,,No,2017-04-24 22:14:53
17229,Adios Amigos Cocktail,,,,Cocktail,,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Agitar todos los ingredientes y colarlos en un vaso enfriado.,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,,Shakerare insieme tutti gli ingredienti e filtrare in un bicchiere freddo.,,,https://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,,,,,,,1 shot ,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,,,,,,,,,No,2017-09-07 22:31:33
17838,Adonis Cocktail,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.","Mezclar todos los ingredientes con hielo, colar el contenido en una copa de cóctel y servir.","Alle Zutaten mit Eis verrühren, Inhalt in ein Cocktailglas abseihen und servieren.",,"Mescolare tutti gli ingredienti con ghiaccio, filtrare il contenuto in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Sweet Vermouth,Sherry,Orange bitters,,,,,,,,,,,,,3/4 oz ,1 1/2 oz dry ,1 dash ,,,,,,,,,,,,,,,No,2016-09-02 11:27:11
17839,Affair,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Vierta el Schnapps, el jugo de naranja y el jugo de arándano sobre hielo en un vaso alto. Complete con el agua carbonatada y sirva.","Gießen Sie Schnaps, Orangensaft und Cranberrysaft über Eis in ein Highball-Glas. Mit Club-Soda überziehen und servieren.",,"Versare la grappa, il succo d'arancia e il succo di mirtillo rosso sul ghiaccio in un bicchiere highball. Completare con la soda club e servire.",,,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,,,,Yes,2016-09-01 10:05:34
17840,Affinity,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","En un vaso mezclador lleno hasta la mitad con cubitos de hielo, combine todos los ingredientes. Sacudir bien. Colar en un vaso de cóctel.","In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,"In un mixing glass riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti. Filtrare in un bicchiere da cocktail. Mescolare bene.",,,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,,,,Yes,2017-09-07 21:44:05
11010,After Dinner Cocktail,,DinnerParty,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,Agite todos los ingredientes (excepto la rodaja de limón) con hielo y cuélalos en un vaso de cóctel. Añadir la rodaja de lima y servir.,Alle Zutaten (außer Limettenkeil) mit Eis schütteln und in ein Cocktailglas abseihen. Den Limettenkeil dazugeben und servieren.,,Shakerare tutti gli ingredienti (eccetto uno spicchio di lime) con ghiaccio e filtrare in una coppetta da cocktail.Aggiungere lo spicchio di lime e servire.,,,https://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Apricot brandy,Triple sec,Lime,Lime,,,,,,,,,,,,1 oz ,1 oz ,Juice of 1 ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/drink/11010,TheCocktailDB.com,Yes,2017-01-02 20:06:18
13807,After Five,,,,Shot,,Alcoholic,Shot glass,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled","1. Vierta el licor Kahlúa hasta la mitad en un vaso de chupito. 2. Usando una cuchara (invertida), vierta lentamente el Schnapps de menta hasta que el vaso esté lleno aproximadamente 3/4. Hecho correctamente, el Schnapps fluirá debajo del Kahlúa formando una capa transparente. 3. Nuevamente usando una cuchara, pero esta vez con el lado derecho hacia arriba, cubra lentamente el vaso con una capa de Bailey's. Tenga cuidado de colocar la cuchara justo encima de la capa de Kahlúa y levántela a medida que se llena el vaso. Hecho correctamente, esto proporcionará una capa de Baileys flotando sobre Kahlúa. 4. Agregue todo a la vez para algo como una pasta de menta, ¡¡¡CON GRAN ÉXITO!!! NOTA: Mejor si todos los ingredientes están refrigerados.","1. Gießen Sie Kahlua in das Schnapsglas bis etwa 1/2 voll. 2. Mit einem Löffel (invertiert) den Pfefferminzlikör langsam einfüllen, bis das Glas etwa 3/4 voll ist. Richtig gemacht, fließt der Schnaps unter dem Kahlua für eine klare Schicht. 3. Wieder mit einem Löffel, aber diesmal mit der rechten Seite nach oben, das Glas langsam mit einer Schicht Bailey's abdecken. Achten Sie darauf, den Löffel ganz oben auf die Kahluaschicht zu stellen und ihn beim Auffüllen des Glases anzuheben. Richtig gemacht, wird dies eine Schicht von Bailey's, die über dem Kahlua schwimmt, ergeben. 4. Trinken Sie es auf einmal weg, mit einem Knall. HINWEIS: Am besten, wenn alle Zutaten gekühlt sind.",,"1.
Versare Kahlua nel bicchiere da shot a circa 1/2 pieno.
2.
Con un cucchiaio (capovolto), versare lentamente la Schnapps alla menta piperita fino a riempire il bicchiere per circa 3/4.
Fatto correttamente, la Schnapps scorrerà sotto il Kahlua per uno strato chiaro.
3.
Usando ancora un cucchiaio, ma questa volta con il lato giusto verso l'alto, riempi lentamente il bicchiere con uno strato di Bailey's.
Fai attenzione a posizionare il cucchiaio proprio sopra lo strato di Kahlua e sollevalo mentre il bicchiere si riempie.
Fatto correttamente, questo fornirà uno strato di Bailey che galleggia sul Kahlua.
4.
Buttalo giù tutto in una volta                                                                                                                                                                                NOTA: meglio se tutti gli ingredienti sono refrigerati",,,https://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Peppermint schnapps,Kahlua,Baileys irish cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-04-24 22:16:35
15182,After sex,,,,Ordinary Drink,,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,"Vierta el vodka y la crema de plátano sobre unos cubitos de hielo en un vaso alto y rellénelo con el jugo de naranja. Para que quede bonito, pruebe a escarchar el borde de la copa con granadina y azúcar.","Gießen Sie den Wodka und die Sahne über einige Eiswürfel in ein hohes Glas und füllen Sie ihn mit Saft. Damit es voll ist, verzieren Sie die Oberseite des Glases mit einer Grenadine und Zucker.",,"Versare la vodka e la crema su alcuni cubetti di ghiaccio in un bicchiere alto e riempire di succo.
Per renderlo bello, versare nella parte superiore del bicchiere un po’ di granatina e nei bordi mettere un po’ di zucchero",,,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,,,,No,2017-04-24 22:18:22
11011,After Supper Cocktail,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Agita todos los ingredientes con hielo, viértalos en un vaso de cóctel y sirva.","Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,"Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Triple sec,Apricot brandy,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/drink/11011,TheCocktailDB.com,Yes,2017-01-02 20:06:50
13162,Afternoon,,,,Coffee / Tea,,Alcoholic,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.","Preparar en un vaso adecuado, sin hielo. Crema encima, si gustas. Servido directamente.","In ein passendes Glas geben, ohne Eis. Auf Wunsch mit Sahne überziehen. Direkt serviert.",,"Incorpora un bicchiere adatto, senza ghiaccio.
Crema in cima se lo si desidera."
11999, Servito direttamente.,,,https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,,,,,,,,,,1 cl ,1 cl ,1 1/2 ,4 cl hot ,,,,,,,,,,,,,,No,2016-08-31 19:22:57
11012,Alabama Slammer,,Summer,,Ordinary Drink,,Alcoholic,Highball glass,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.","Vierta todos los ingredientes (excepto el jugo de limón) sobre hielo en un vaso alto. Mezcla, añade un chorrito de zumo de limón y sirve.","Alle Zutaten (außer Zitronensaft) in einem Highball-Glas über Eis gießen. Umrühren, einen Schuss Zitronensaft hinzufügen und servieren.",,"Versare tutti gli ingredienti (tranne il succo di limone) sul ghiaccio in un bicchiere highball.Mescolate, aggiungete un goccio di succo di limone e servite.",,,https://www.thecocktaildb.com/images/media/drink/jntghf1606771886.jpg,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,,,,,,,1 oz ,1 oz ,1/2 oz ,1 dash ,,,,,,,,,,,,https://www.pxfuel.com/en/free-photo-eplac,pxfuel.com,Yes,2017-01-02 20:07:27
11013,Alaska Cocktail,,"Beach,Chilli",,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.","Mezclar todos los ingredientes con hielo, colar el contenido en una copa de cóctel. Añadir una rodaja de limón y servir.","Alle Zutaten mit Eis verrühren, Inhalt in ein Cocktailglas abseihen. Einen Spritzer Zitrone dazugeben und servieren.",,"Mescolare tutti gli ingredienti con ghiaccio, filtrare il contenuto in un bicchiere da cocktail.Aggiungere una noce di limone e servire.",,,https://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,,,,,,2 dashes ,1 1/2 oz ,3/4 oz ,Twist of ,,,,,,,,,,,,,,No,2017-01-02 20:08:40
11014,Alexander,,"IBA,Classic,Dairy",https://www.youtube.com/watch?v=qEhRK_v2w2g,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Agite todos los ingredientes con hielo y cuele el contenido en una copa de cóctel. Espolvorea nuez moscada encima y sirve.,Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.,,Shakerare tutti gli ingredienti con ghiaccio e filtrare il contenuto in un bicchiere da cocktail. Cospargere di noce moscata e servire.,,,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,https://www.pxfuel.com/en/free-photo-expqp,pxfuel.com,Yes,2016-11-04 09:50:39
11019,Alfie Cocktail,,Alcoholic,,Ordinary Drink,,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.","Mezclar y agitar todos los ingredientes con hielo, colarlos en un vaso de cóctel y servir.","Alle Zutaten mit Eis mischen und schütteln, in ein Cocktailglas abseihen und servieren.",,"Unire e scuotere tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Lemon vodka,Triple sec,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 dash ,1 tblsp ,,,,,,,,,,,,,,,No,2017-01-02 20:10:29
11020,Algonquin,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","Mezclar y agitar todos los ingredientes con hielo, colarlos en un vaso de cóctel y servir.","Alle Zutaten mit Eis mischen und schütteln, Inhalt in ein Cocktailglas abseihen und servieren.",,"Unire e scuotere tutti gli ingredienti con ghiaccio, filtrare il contenuto in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,,,,,No,2017-01-02 20:11:13
17094,Alice in Wonderland,,,,Ordinary Drink,,Alcoholic,Collins Glass,Just mix the three ingredients one to one to one,"Simplemente, mezcle los tres ingredientes uno a uno.",Mische einfach die drei Zutaten.,,Basta mescolare i tre ingredienti uno a uno a uno,,,https://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Amaretto,Grand Marnier,Southern Comfort,,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,,,,,,,,,,,,,,,No,2017-04-24 22:29:51
11021,Allegheny,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Agite todos los ingredientes (excepto el twist de limón) con hielo y cuele en un vaso de cóctel. Cubra con el twist de limón y sirva.,Alle Zutaten (außer Zitronenschale) mit Eis schütteln und in ein Cocktailglas abseihen. Mit der Drehung der Zitronenschale garnieren und servieren.,,Shakerare tutti gli ingredienti (tranne la buccia di limone) con ghiaccio e filtrare in una coppetta da cocktail.Completare con la scorza di limone e servire.,,,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,,,No,2017-01-02 20:12:14
11022,Allies Cocktail,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.","Mezclar todos los ingredientes con hielo, colar el contenido en un vaso de cóctel y servir.","Alle Zutaten mit Eis verrühren, Inhalt in ein Cocktailglas abseihen und servieren.",,"Mescolare tutti gli ingredienti con ghiaccio, filtrare il contenuto in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Dry Vermouth,Gin,Kummel,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp ,,,,,,,,,,,,,,,No,2017-01-02 20:15:04
11023,Almeria,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","En una coctelera llena hasta la mitad con cubitos de hielo, mezcla todos los ingredientes. Agitar bien. Colar el contenido en un vaso de cóctel.","In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",,"In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Agitare bene.Filtrare in un bicchiere da cocktail.",,,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1 ,,,,,,,,,,,,,,,No,2017-01-02 20:16:21
16082,Almond Chocolate Coffee,,,,Ordinary Drink,,Alcoholic,Coffee mug,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,Verter en orden en la taza de café. Cubra con crema batida y virutas de chocolate.,In Reihenfolge in die Kaffeetasse gießen. Mit Schlagsahne und Schokoraspeln garnieren.,,"Versare in ordine in una tazzina da caffè.
Completare con panna montata e scaglie di cioccolato.",,,https://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Amaretto,Dark Creme de Cacao,Coffee,,,,,,,,,,,,,3/4 oz ,1/2 oz ,8 oz ,,,,,,,,,,,,,,,No,2017-04-24 22:30:41
